site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note,health
doc-cerema-fr-default,French Research Institutes,697,0,0,True,1.1,count_crawl,probe_limit:3,empty_zero_parse
data-nasa-gov-dataset,American Research Institutes,4474,3,359,True,19.6,count_crawl,probe_limit:3,ok
differ-nl-publications,Dutch Research Centers,198,3,0,True,9.2,count_crawl,probe_limit:3,ok
dspace-emu-ee-search,Estonia Research Centers,500,3,2835,True,7.8,count_crawl,probe_limit:3,ok
deltares-nl-en,Dutch Research Centers,155,3,0,True,12.3,count_crawl,probe_limit:3,ok
ec-lyon-hal-science-search,French Public Universities,222,3,252,True,1.8,count_crawl,probe_limit:3,ok
drc-gov-cn-leafaspx,중국 완료,555,3,0,True,11.7,count_crawl,probe_limit:3,ok
dtic-dimensions-ai-discover,American Research Institutes,500,3,0,True,4.2,count_crawl,probe_limit:3,ok
datos-gob-cl-dataset,Chile Research Centers,21,3,0,True,20.0,count_crawl,probe_limit:3,ok
dspace-ut-ee-search,Estonia Research Centers,125,3,14208,True,9.4,count_crawl,probe_limit:3,ok
e-stat-go-jp-stat-search,일본완료,1018,3,0,True,5.6,count_crawl,probe_limit:3,ok
education-govt-nz-our-work,뉴질랜드완료,34,0,0,True,1.2,count_crawl,probe_limit:3,empty_zero_parse
edi-admin-ch-de,Switzerland Departments,360,3,0,True,5.4,count_crawl,probe_limit:3,ok
edx-netl-doe-gov-group,American Research Institutes,100,3,0,True,1.4,count_crawl,probe_limit:3,ok
education-ni-gov-uk-news,영국완료,503,3,0,True,4.1,count_crawl,probe_limit:3,ok
ehess-hal-science-search,French Public Universities,429,3,2756,True,1.5,count_crawl,probe_limit:3,ok
ed-gov-about,USA Executive Departments,224,3,0,True,12.0,count_crawl,probe_limit:3,ok
en-iwhr-cn-iwhr-english-new,중국 완료,458,0,0,True,0.3,count_crawl,probe_limit:3,empty_zero_parse
en-moj-gov-cn-lawsandregulationsht,중국 완료,15,0,0,True,0.2,count_crawl,probe_limit:3,empty_zero_parse
en-ird-fr-sections,French Research Institutes,84,3,0,True,13.3,count_crawl,probe_limit:3,ok
efk-admin-ch-fr,Switzerland Research Centers,26,3,0,True,17.2,count_crawl,probe_limit:3,ok
enc-hal-science-search,French Public Universities,509,3,667,True,2.4,count_crawl,probe_limit:3,ok
enac-hal-science-search,French Public Universities,549,3,57,True,6.3,count_crawl,probe_limit:3,ok
energy-gov-search,USA Executive Departments,191,3,0,True,7.9,count_crawl,probe_limit:3,ok
edoc-rki-de-handle,GER ResearchCenters(Unfinished),20,3,0,True,36.3,count_crawl,probe_limit:3,ok
ens-hal-science-search,French Public Universities,18340,3,28784,True,2.5,count_crawl,probe_limit:3,ok
education-govt-nz-search,뉴질랜드완료,66,0,0,True,39.9,count_crawl,probe_limit:3,empty_zero_parse
ens-lyon-hal-science-search,French Public Universities,1343,3,2559,True,1.8,count_crawl,probe_limit:3,ok
enpc-hal-science-search,French Public Universities,741,3,1719,True,7.3,count_crawl,probe_limit:3,ok
cells-es-en,Spanish Research Centers,11,0,0,True,112.5,count_crawl,probe_limit:3,empty_zero_parse
enscp-hal-science-search,French Public Institutions,3517,3,3781,True,1.2,count_crawl,probe_limit:3,ok
enssib-hal-science-search,French Public Universities,12,1,17,True,2.6,count_crawl,probe_limit:3,ok
eprints-soton-ac-uk-view,영국완료,259,0,0,True,1.6,count_crawl,probe_limit:3,empty_zero_parse
environment-govt-nz-what-you-can-do,뉴질랜드완료,58,3,0,True,5.3,count_crawl,probe_limit:3,ok
envt-hal-science-search,French Public Universities,1063,3,8042,True,5.0,count_crawl,probe_limit:3,ok
eprr-lanl-gov,American Research Institutes,367,0,0,True,2.0,count_crawl,probe_limit:3,empty_zero_parse
eprints-imtlucca-it-cgi,Italy Research centers,1461,0,0,True,5.3,count_crawl,probe_limit:3,empty_zero_parse
ethniccommunities-govt-nz-resources,뉴질랜드완료,85,0,0,True,0.6,count_crawl,probe_limit:3,empty_zero_parse
espci-hal-science-search,French Public Universities,22,3,21,True,1.8,count_crawl,probe_limit:3,ok
exteriores-gob-es-en,Spain Ministries,55,3,0,True,2.8,count_crawl,probe_limit:3,ok
federalregister-gov-documents,USA Executive Departments,5957,3,0,True,1.5,count_crawl,probe_limit:3,ok
fair-healthdata-be-search,벨기에완료,10,3,248,True,3.7,count_crawl,probe_limit:3,ok
esteri-it-it,Italy Ministries,5533,3,0,True,5.5,count_crawl,probe_limit:3,ok
fhi-no-en,Norway Research Centers,255,3,0,True,2.7,count_crawl,probe_limit:3,ok
dapa-go-kr-dapa,한국완료,970,0,0,True,94.0,count_crawl,probe_limit:3,empty_zero_parse
frontiersin-org-articles,American Research Institutes,1230,3,0,True,9.1,count_crawl,probe_limit:3,ok
futureneurocentre-ie-our-research,Irish Research Centers,455,3,0,True,8.9,count_crawl,probe_limit:3,ok
geoportal-statistics-gov-uk-search,영국완료,346,3,0,True,5.7,count_crawl,probe_limit:3,ok
github-com-orgs,Dutch Research Centers,91,3,0,True,3.7,count_crawl,probe_limit:3,ok
go-griffith-ie-browse,Irish Research Centers,1111,3,617,True,6.8,count_crawl,probe_limit:3,ok
gov-gr-search,Greece Ministries,489,0,0,True,2.3,count_crawl,probe_limit:3,empty_zero_parse
astro-oma-be-en,벨기에완료,22,0,0,True,185.8,count_crawl,probe_limit:3,empty_zero_parse
gov-ie-en,Ireland Ministries,780,0,0,True,2.0,count_crawl,probe_limit:3,empty_zero_parse
gov-scot-publications,영국완료,1024,3,0,True,7.0,count_crawl,probe_limit:3,ok
gov-scot-statistics-and-resea,영국완료,353,3,0,True,6.5,count_crawl,probe_limit:3,ok
gov-uk-search,영국완료,862,3,59322,True,4.4,count_crawl,probe_limit:3,ok
gsi-ie-en-ie,Irish Research Centers,113,0,0,True,7.1,count_crawl,probe_limit:3,empty_zero_parse
hal-science-afd,French Public Institutions,59,3,67,True,2.0,count_crawl,probe_limit:3,ok
hal-science-ign-ensg,French Public Institutions,3288,3,3736,True,1.9,count_crawl,probe_limit:3,ok
hautconseilclimat-fr-ressources-pedagogiq,French Public Institutions,234,3,0,True,2.4,count_crawl,probe_limit:3,ok
english-mee-gov-cn-resources,중국 완료,20,0,0,True,94.3,count_crawl,probe_limit:3,empty_zero_parse
hec-hal-science-search,French Public Universities,313,3,335,True,6.0,count_crawl,probe_limit:3,ok
helios-eie-gr-helios,Greece Research Centers,500,3,0,True,11.4,count_crawl,probe_limit:3,ok
hfml-felix-nl-en,Dutch Research Centers,62,3,0,True,15.4,count_crawl,probe_limit:3,ok
homeaffairs-gov-au-sitesearch,호주완료,1308,3,0,True,1.9,count_crawl,probe_limit:3,ok
bfr-bund-de-en,GER ResearchCenters(Unfinished),23,1,0,True,260.9,count_crawl,probe_limit:3,ok
hrb-ie-publications,Irish Research Centers,187,3,0,True,9.6,count_crawl,probe_limit:3,ok
hud-govt-nz-documents,뉴질랜드완료,148,3,0,True,6.1,count_crawl,probe_limit:3,ok
icn-hal-science-search,French Public Universities,133,3,139,True,1.5,count_crawl,probe_limit:3,ok
icp-hal-science-search,French Public Institutions,220,3,182,True,3.0,count_crawl,probe_limit:3,ok
ifr-pan-edu-pl-dzialalnosc-naukowa,Polish Research Centers,232,0,0,True,1.9,count_crawl,probe_limit:3,empty_zero_parse
imt-nord-europe-hal-science-search,French Public Universities,61,3,96,True,2.1,count_crawl,probe_limit:3,ok
iisd-org-press,Canadian Research Centers,342,3,0,True,5.6,count_crawl,probe_limit:3,ok
ineris-hal-science-search,French Research Institutes,2234,3,2336,True,1.5,count_crawl,probe_limit:3,ok
academie-sciences-fr-espace-presse,French Public Institutions,68,0,0,False,300.3,count_crawl,external_timeout_kill:lower_bound,timeout
anses-fr-fr,French Research Institutes,6091,0,0,False,300.3,count_crawl,external_timeout_kill:lower_bound,timeout
inrae-fr-actualites,French Research Institutes,830,0,0,True,1.4,count_crawl,probe_limit:3,empty_zero_parse
inria-fr-fr,French Research Institutes,114,0,0,True,1.8,count_crawl,probe_limit:3,empty_zero_parse
inria-hal-science-search,French Research Institutes,1083,3,11776,True,24.2,count_crawl,probe_limit:3,ok
inserm-hal-science-search,French Research Institutes,883,3,1283,True,2.3,count_crawl,probe_limit:3,ok
info-daegu-go-kr-newshome,한국완료,490,0,0,True,49.0,count_crawl,probe_limit:3,empty_zero_parse
insight-centre-org-press-releases,Irish Research Centers,54,3,0,True,10.9,count_crawl,probe_limit:3,ok
hea-ie-resources,Irish Research Centers,221,0,0,True,118.5,count_crawl,probe_limit:3,empty_zero_parse
ir-cwi-nl,Dutch Research Centers,592,3,0,True,3.9,count_crawl,probe_limit:3,ok
ird-hal-science-search,French Research Institutes,1144,3,664,True,3.7,count_crawl,probe_limit:3,ok
international-andra-fr-documents-and-visual,French Research Institutes,34,3,0,True,18.4,count_crawl,probe_limit:3,ok
ir-lib-uth-gr-xmlui,Greece Research Centers,843,3,0,True,18.4,count_crawl,probe_limit:3,ok
irpp-org-about-the-irpp,Canadian Research Centers,25,3,0,True,14.0,count_crawl,probe_limit:3,ok
isae-ensma-hal-science-search,French Public Universities,14,3,3475,True,1.8,count_crawl,probe_limit:3,ok
issibern-ch-results,Switzerland Research Centers,495,3,0,True,4.8,count_crawl,probe_limit:3,ok
issnationallab-org-about,American Research Institutes,82,0,0,True,0.1,count_crawl,probe_limit:3,empty_zero_parse
irpp-org-media,Canadian Research Centers,487,3,0,True,17.9,count_crawl,probe_limit:3,ok
issnationallab-org-press-releases,American Research Institutes,561,3,0,True,2.8,count_crawl,probe_limit:3,ok
issnationallab-org-publications,American Research Institutes,205,3,0,True,1.5,count_crawl,probe_limit:3,ok
genomecanada-ca-about,Canadian Research Centers,50,0,0,True,207.8,count_crawl,probe_limit:3,empty_zero_parse
issibern-ch-outreach,Switzerland Research Centers,157,3,0,True,11.2,count_crawl,probe_limit:3,ok
iwhr-com-zgskywwnew,중국 완료,62,0,0,True,0.3,count_crawl,probe_limit:3,empty_zero_parse
jgi-doe-gov-user-science,American Research Institutes,682,3,0,True,3.2,count_crawl,probe_limit:3,ok
issnationallab-org-research-and-science,American Research Institutes,12,3,0,True,7.3,count_crawl,probe_limit:3,ok
ivo-se-sok,스웨덴 완료,134,3,139,True,10.6,count_crawl,probe_limit:3,ok
jic-ac-uk-news-events,영국완료,1138,3,0,True,10.3,count_crawl,probe_limit:3,ok
julkaisut-valtioneuvosto-fi-search,핀란드완료,293,3,13786,True,10.8,count_crawl,probe_limit:3,ok
justice-gouv-fr-documentation,France Ministries,167,3,0,True,13.7,count_crawl,probe_limit:3,ok
kb-se-om-oss,스웨덴 완료,80,3,0,True,7.0,count_crawl,probe_limit:3,ok
kfss-forest-go-kr-stat,한국완료,15,3,15,True,1.5,count_crawl,probe_limit:3,ok
khs-go-kr-newsbbz,한국완료,1249,3,0,True,4.0,count_crawl,probe_limit:3,ok
ehesp-fr-espace-presse,French Public Universities,127,0,0,False,300.2,count_crawl,external_timeout_kill:lower_bound,timeout
kirj-ee-archive,Estonia Research Centers,3619,3,0,True,11.0,count_crawl,probe_limit:3,ok
kit-nl-institute,Dutch Research Centers,121,3,0,True,10.1,count_crawl,probe_limit:3,ok
en-ndrc-gov-cn-policies,중국 완료,52,0,0,False,300.2,count_crawl,external_timeout_kill:lower_bound,timeout
kmi-re-kr-web,한국완료,445,3,0,True,4.8,count_crawl,probe_limit:3,ok
kliimaministeerium-ee-otsing,Estonia Ministries,10,3,4291,True,7.1,count_crawl,probe_limit:3,ok
knmi-nl-kennis-en-datacentru,Dutch Research Centers,388,3,0,True,6.0,count_crawl,probe_limit:3,ok
kostat-go-kr-boardes,한국완료,100,0,0,True,0.1,count_crawl,probe_limit:3,empty_zero_parse
knowledge-barnardos-ie-browse,Irish Research Centers,365,3,1239,True,7.9,count_crawl,probe_limit:3,ok
kjonnsforskning-no-nb,Norway Research Centers,100,3,0,True,21.0,count_crawl,probe_limit:3,ok
library-kwrwater-nl-en,Dutch Research Centers,51,3,5920,True,2.2,count_crawl,probe_limit:3,ok
mbie-govt-nz-building-and-energy,뉴질랜드완료,80,0,0,True,1.0,count_crawl,probe_limit:3,empty_zero_parse
lenus-ie-browse,Irish Research Centers,168,3,46829,True,11.1,count_crawl,probe_limit:3,ok
kommunekredit-com-about-us,덴마크완료,24,3,0,True,15.0,count_crawl,probe_limit:3,ok
lne-fr-fr,French Research Institutes,40,3,0,True,7.5,count_crawl,probe_limit:3,ok
mef-gov-it-ufficio-stampa,Italy Ministries,204,3,0,True,8.1,count_crawl,probe_limit:3,ok
meteoswiss-admin-ch-services-and-publica,Switzerland Research Centers,440,3,1574,True,6.1,count_crawl,probe_limit:3,ok
migration-gov-gr-press,Greece Ministries,1618,3,0,True,2.8,count_crawl,probe_limit:3,ok
miit-gov-cn-zc,중국 완료,104,3,104,True,6.6,count_crawl,probe_limit:3,ok
forskningsradet-no-om-forskningsradet,Norway Research Centers,356,0,0,False,300.2,count_crawl,external_timeout_kill:lower_bound,timeout
mi-se-arkiv,스웨덴 완료,632,3,0,True,15.6,count_crawl,probe_limit:3,ok
garda-ie-en,Irish Research Centers,94,0,0,False,300.2,count_crawl,external_timeout_kill:lower_bound,timeout
minedu-gov-gr-grafeio-typoy-kai-di,Greece Ministries,404,0,0,True,2.5,count_crawl,probe_limit:3,empty_zero_parse
minfin-gov-gr-grafeio-typou,Greece Ministries,1797,0,0,True,1.4,count_crawl,probe_limit:3,empty_zero_parse
genome-gov-about-nhgri,American Research Institutes,42,1,0,False,300.2,count_crawl,external_timeout_kill:lower_bound,timeout
minscfa-gov-gr-grafeio-typou,Greece Ministries,626,0,0,True,2.9,count_crawl,probe_limit:3,empty_zero_parse
moe-gov-cn-jyb_sjzl,중국 완료,28,3,0,True,2.3,count_crawl,probe_limit:3,ok
ministeroturismo-gov-it-category,Italy Ministries,1014,3,0,True,9.0,count_crawl,probe_limit:3,ok
mindev-gov-gr-category,Greece Ministries,3514,3,0,True,13.5,count_crawl,probe_limit:3,ok
mpi-govt-nz-resources-and-forms,뉴질랜드완료,35,0,0,True,0.9,count_crawl,probe_limit:3,empty_zero_parse
nasa-gov-2025-news-releases,American Research Institutes,236,3,0,True,2.8,count_crawl,probe_limit:3,ok
moh-gov-gr-articles,Greece Ministries,5608,3,0,True,10.5,count_crawl,probe_limit:3,ok
naturalengland-defra-opendata-arcgis-com-search,영국완료,167,3,0,True,1.6,count_crawl,probe_limit:3,ok
jeonnam-go-kr-m7116,한국완료,770,0,0,True,102.0,count_crawl,probe_limit:3,empty_zero_parse
ncha-gov-cn-col,중국 완료,117,3,0,True,6.5,count_crawl,probe_limit:3,ok
mpi-govt-nz-about-mpi,뉴질랜드완료,14,0,0,True,17.6,count_crawl,probe_limit:3,empty_zero_parse
nei-nih-gov-learn-about-eye-heal,American Research Institutes,88,3,0,True,5.3,count_crawl,probe_limit:3,ok
mentalhealthcommission-ca-resources,Canadian Research Centers,589,3,0,True,52.6,count_crawl,probe_limit:3,ok
gov-il-collectors,Israel Ministries,708,3,0,False,300.2,count_crawl,external_timeout_kill:lower_bound,timeout
nemertes-library-upatras-gr-browse,Greece Research Centers,127,3,140,True,9.3,count_crawl,probe_limit:3,ok
nfra-gov-cn-cn,중국 완료,726,3,1373,True,2.5,count_crawl,probe_limit:3,ok
nhlbi-nih-gov-about,American Research Institutes,22,3,0,True,2.7,count_crawl,probe_limit:3,ok
newsreleases-sandia-gov-archives-by-year,American Research Institutes,2044,3,0,True,9.3,count_crawl,probe_limit:3,ok
nida-nih-gov-research-topics,American Research Institutes,29,3,5,True,2.4,count_crawl,probe_limit:3,ok
nih-gov-news-events,American Research Institutes,409,0,0,True,0.8,count_crawl,probe_limit:3,empty_zero_parse
nidcd-nih-gov-news,American Research Institutes,203,0,0,True,1.2,count_crawl,probe_limit:3,empty_zero_parse
nina-no-english,Norway Research Centers,36,0,0,True,0.4,count_crawl,probe_limit:3,empty_zero_parse
nemertes-library-upatras-gr-search,Greece Research Centers,500,3,30984,True,21.0,count_crawl,probe_limit:3,ok
nationalacademies-org-publications,French Research Institutes,184,3,0,True,34.4,count_crawl,probe_limit:3,ok
nih-gov-press-room,American Research Institutes,449,0,0,True,5.8,count_crawl,probe_limit:3,empty_zero_parse
news-fnal-gov-category,American Research Institutes,374,3,0,True,18.5,count_crawl,probe_limit:3,ok
nofima-com-publication,Norway Research Centers,200,0,0,True,0.7,count_crawl,probe_limit:3,empty_zero_parse
nkvts-no-english,Norway Research Centers,562,0,0,True,7.3,count_crawl,probe_limit:3,empty_zero_parse
nrscotland-gov-uk-publications,영국완료,359,3,0,True,3.6,count_crawl,probe_limit:3,ok
nzpri-aut-ac-nz-document-library,뉴질랜드완료,7,0,0,True,0.7,count_crawl,probe_limit:3,empty_zero_parse
ntrs-nasa-gov-search,American Research Institutes,6490,3,71865,True,1.8,count_crawl,probe_limit:3,ok
oka-go-kr-web,한국완료,30,3,0,True,2.2,count_crawl,probe_limit:3,ok
nistdigitalarchives-contentdm-oclc-org-digital,American Research Institutes,788,3,8257,True,13.6,count_crawl,probe_limit:3,ok
om-mp-be-nl,벨기에완료,239,0,0,True,1.0,count_crawl,probe_limit:3,empty_zero_parse
nora-nerc-ac-uk-view,영국완료,596,3,0,True,10.9,count_crawl,probe_limit:3,ok
opendatacommunities-org-data,영국완료,3,0,0,True,0.1,count_crawl,probe_limit:3,empty_zero_parse
opendata-dk-search,덴마크완료,70,3,0,True,3.1,count_crawl,probe_limit:3,ok
openresearch-repository-anu-edu-au-search,호주완료,261,3,389506,True,9.9,count_crawl,probe_limit:3,ok
osr-statisticsauthority-gov-uk-publications-list,영국완료,257,3,0,True,20.3,count_crawl,probe_limit:3,ok
ostrnrcan-dostrncan-canada-ca-search,Canadian Research Centers,220,3,48869,True,14.6,count_crawl,probe_limit:3,ok
open-science-canada-ca-communities,Canadian Research Centers,272,3,295,True,28.1,count_crawl,probe_limit:3,ok
pbocri-org-cn-lnzy3html,중국 완료,8,0,0,True,1.3,count_crawl,probe_limit:3,empty_zero_parse
pbocri-org-cn-xslwhtml,중국 완료,2,2,0,True,3.7,count_crawl,probe_limit:3,ok
pasteur-fr-en,French Research Institutes,314,3,0,True,9.7,count_crawl,probe_limit:3,ok
mnd-go-kr-user,한국완료,304,0,0,True,94.0,count_crawl,probe_limit:3,empty_zero_parse
