site_id,url,verdict,fix_class
ptb-de-cms,https://www.ptb.de/cms/presseaktuelles/wissenschaftlich-technische-publikationen/ptb-berichte.html,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
noc-ac-uk-publications,https://www.noc.ac.uk/publications,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
seer-cancer-gov-report_to_nation,https://seer.cancer.gov,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
niddk-nih-gov-news,https://www.niddk.nih.gov,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
sonar-ch-global,https://sonar.ch,"불명(HTTP200, 10306B, 15링크)",PROBE_review
search-open-canada-ca-opendata,https://search.open.canada.ca,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
sib-swiss-training,https://www.sib.swiss,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
skillsdevelopmentscotland-co-uk-publications-statist,https://www.skillsdevelopmentscotland.co.uk,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
openscience-si-naprednoiskanjeaspx,https://openscience.si/NaprednoIskanje.aspx?q=0:20:212,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
ungeneva-org-en,https://www.ungeneva.org/en/news-media/press-release,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
um-dk-om-os,https://um.dk,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
women-govt-nz-library,https://www.women.govt.nz,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
sm-dk-publikationer,https://www.sm.dk,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
vbs-admin-ch-en,https://www.vbs.admin.ch,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
vtg-admin-ch-en,https://www.vtg.admin.ch,WAF차단(헤더/스텔스 우회검증필요),FIX_stealth
www2-mrc-lmb-cam-ac-uk-research,https://www2.mrc-lmb.cam.ac.uk,콘텐츠 있음(셀렉터 노후 의심),FIX_selector
jeonnam-go-kr-m7116,https://www.jeonnam.go.kr,사망/무응답(HTTP000),SKIP_dead
khs-go-kr-cop,https://www.khs.go.kr,사망/무응답(HTTP000),SKIP_dead
khs-go-kr-newsbbz,https://www.khs.go.kr,사망/무응답(HTTP000),SKIP_dead
reseau-canope-fr-espace-presse,https://www.reseau-canope.fr,SPA/JS쉘(정적크롤 불가),SKIP_spa
