site_id,site_name,status,category,reason,collected
hcsp-fr-explorecgi,Custom: hcsp-fr-explorecgi,된다,,,37
hea-ie-resources,Custom: hea-ie-resources,된다,,,221
health-gov-au-publications,"Department of Health, Disability and Ageing — Publications",된다,,,749
health-govt-nz-publications,Ministry of Health NZ — Publications,된다,,,306
health-ni-gov-uk-news,Custom: health-ni-gov-uk-news,된다,,,137
health-ni-gov-uk-publications,Custom: health-ni-gov-uk-publications,된다,,,503
hec-edu-en,Custom: hec-edu-en,된다,,,16
hec-hal-science-search,Custom: hec-hal-science-search,된다,,,313
helios-eie-gr-helios,Custom: helios-eie-gr-helios,된다,,,500
hfml-felix-nl-en,Custom: hfml-felix-nl-en,된다,,,62
hhs-gov-guidance,Custom: hhs-gov-guidance,된다,,,267
hi-no-en,Custom: hi-no-en,된다,,,119
home-cern-news,Custom: home-cern-news,된다,,,809
home-treasury-gov-about,Custom: home-treasury-gov-about,된다,,,12
homeaffairs-gov-au-sitesearch,Custom: homeaffairs-gov-au-sitesearch,된다,,,1308
hrb-ie-publications,Custom: hrb-ie-publications,된다,,,187
hrbopenresearch-org,HRB Open Research,된다,,,437
hud-govt-nz-documents,Custom: hud-govt-nz-documents,된다,,,148
hud-govt-nz-stats-and-insights,Custom: hud-govt-nz-stats-and-insights,된다,,,1334
humanrights-go-kr-base,Custom: humanrights-go-kr-base,된다,,,450
icn-artem-com-en,Custom: icn-artem-com-en,된다,,,6
icn-hal-science-search,Custom: icn-hal-science-search,된다,,,133
icp-fr-a-propos-de-licp,Custom: icp-fr-a-propos-de-licp,된다,,,99
icp-hal-science-search,Custom: icp-hal-science-search,된다,,,220
idiap-ch-en,Custom: idiap-ch-en,된다,,,125
ifau-se-forskning,Custom: ifau-se-forskning,된다,,,101
ifau-se-press,Custom: ifau-se-press,된다,,,215
ifpenergiesnouvelles-fr-tags,Custom: ifpenergiesnouvelles-fr-tags,된다,,,150
