site_id,status,counted,html_list_하한
educacionfpydeportes-gob-es-prensahtml,exact_done,507,507
efd-admin-ch-en,exact_done,2528,2528
ejournals-epublishing-ekt-gr-indexphp,exact_done,381,381
elocus-lib-uoc-gr-search,exact_done,389,389
em-dk-aktuelt,exact_done,350,350
em-lyon-com-en,exact_done,661,661
emep-int-mscw,notrust_need2h,,215
emsl-pnnl-gov-science,exact_done,6,6
en-iwhr-cn-iwhr-english-new,exact_done,0,0
en-ndrc-gov-cn-policies,lowerbound_need2h,0,0
en-nhc-gov-cn-publicationshtml,notrust_need2h,,9
en-nim-ac-cn-taxonomy,exact_done,303,303
energy-gov-management,exact_done,388,388
energy-gov-open-government,notrust_need2h,,10
eng-mod-gov-cn-2025xb,exact_done,10,10
english-cnipa-gov-cn-col,exact_done,353,353
english-mee-gov-cn-resources,exact_done,0,0
english-www-gov-cn-archive,exact_done,315,315
ens-lyon-fr-lecole,exact_done,151,151
environment-govt-nz-acts-and-regulations,exact_done,394,394
environment-govt-nz-publications,exact_done,563,563
environment-govt-nz-what-you-can-do,exact_done,0,0
epa-ie-news-releases,notrust_need2h,,128
eprints-imtlucca-it-cgi,notrust_need2h,,0
eprints-soton-ac-uk-view,exact_done,0,0
esri-ie-publications,exact_done,636,636
etera-ee-browse,lowerbound_need2h,1567,1567
ethniccommunities-govt-nz-resources,exact_done,0,0
ethz-ch-de,exact_done,204,204
etis-ee-portal,lowerbound_need2h,576,576
fafo-no-en,exact_done,474,474
fi-se-en,exact_done,95,93
fibl-org-en,exact_done,580,580
finance-ni-gov-uk-publications,notrust_need2h,,17
fm-dk-udgivelser,notrust_need2h,,100
fmi-ch-research,exact_done,0,0
fmn-dk-da,exact_done,851,851
forest-go-kr-kfsweb,exact_done,667,667
fss-or-kr-fss,exact_done,1310,1310
ftc-go-kr-www,exact_done,1700,1700
ga-gov-au-data-pubs,notrust_need2h,,2241
gb-go-kr-sub,exact_done,407,407
gcsp-ch-publications,notrust_need2h,,178
genome-gov-about-nhgri,exact_done,1,1
genomecanada-ca-about,lowerbound_need2h,0,0
gi-re-kr-home,exact_done,552,552
gichd-org-publications-resourc,exact_done,311,311
gnews-gg-go-kr-briefing,exact_done,1216,1052
gnewsonline-it-category,exact_done,520,520
gov-gr-search,notrust_need2h,,0
gov-wales-publications,exact_done,395,395
graduateinstitute-ch-library,exact_done,213,213
gri-re-kr-web,exact_done,1729,1729
