시트명,일련번호,기관명,URL주소,상태코드,페이지제목,PDF링크수,문서수힌트,크롤판정
호주완료,44,호주 해양과학연구원,https://www.aims.gov.au/search?keys=pdf,200,&nbsp;,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,1,뉴질랜드 문화유산부,https://www.mch.govt.nz/publications,403,Just a moment...,0,,차단(봇방어)
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/maori-health,200,Māori health data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/mental-health,200,Mental health data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/obesity,200,Obesity data and statistics | Ministry of Health NZ,0,19,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/suicide,403,Just a moment...,0,,차단(봇방어)
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/tobacco,200,Tobacco data and statistics | Ministry of Health NZ,0,17,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/alcohol-use,200,Alcohol use data and statistics | Ministry of Health NZ,0,18,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/asian-health,200,Asian health data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/cancer,200,Cancer data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/child-and-youth-health,200,Child and youth health data and statistics | Ministry of Health NZ,0,18,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/disability,200,Disability data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/drug-use,200,Drug use data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/environmental-health,200,Environmental health data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/fetal-and-infant-death,200,Fetal and infant death data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/hospital-event,200,Hospital event data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/maternity-and-newborn,200,Maternity and newborn data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/mortality,200,Mortality data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/nutrition,200,Nutrition data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/older-peoples-health,200,Older people’s health data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/oral-health,200,Oral health data and statistics | Ministry of Health NZ,0,18,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/problem-gambling,200,Gambling harm data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/statistics-research/statistics-and-data-sets/socioeconomic-deprivation,200,Socioeconomic deprivation data and statistics | Ministry of Health NZ,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://healthnz.figshare.com/,202,,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,10,뉴질랜드 보건부,https://www.health.govt.nz/publications,200,Publications | Ministry of Health NZ,0,819,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=38&Filter_Topic_child=638,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=38&Filter_Topic_child=762,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=38&Filter_Topic_child=133,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=38&Filter_Topic_child=57,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=45&Filter_Topic_child=549,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=45&Filter_Topic_child=552,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=45&Filter_Topic_child=558,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=45&Filter_Topic_child=736,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=45&Filter_Topic_child=748,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=738,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=39,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=765,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=41&Filter_Topic_child=76,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=41&Filter_Topic_child=77,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=41&Filter_Topic_child=754,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=41&Filter_Topic_child=78,405,Human Verification,0,,HTTP405
뉴질랜드완료,12,뉴질랜드 법무부,https://www.justice.govt.nz/about/publication-finder/?Filter_Topic=41&Filter_Topic_child=79,405,Human Verification,0,,HTTP405
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2025,200,Budget 2025 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2024,200,Budget 2024 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2023,200,Budget 2023 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2022,200,Budget 2022 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2021,200,Budget 2021 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2020,200,Budget 2020 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
뉴질랜드완료,18,뉴질랜드 재무부,https://www.treasury.govt.nz/publications/budgets/budget-2019,200,Budget 2019 | The Treasury New Zealand,0,,"크롤가능(HTML,PDF미검출)"
