site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note
issibern-ch-results,Switzerland Research Centers,495,86,0,True,22.6,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_SECS=1500->big
ir-cwi-nl,Dutch Research Centers,592,57,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
ird-hal-science-search,French Research Institutes,1144,292,664,False,45.0,count_crawl,external_timeout_kill:lower_bound
isae-ensma-hal-science-search,French Public Universities,14,591,3474,False,45.0,count_crawl,external_timeout_kill:lower_bound
issibern-ch-outreach,Switzerland Research Centers,157,19,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
ivo-se-sok,스웨덴 완료,134,16,139,False,45.0,count_crawl,external_timeout_kill:lower_bound
moe-gov-cn-jyb_sjzl,중국 완료,28,28,0,True,36.4,count_crawl,
knowledge-barnardos-ie-browse,Irish Research Centers,365,24,1239,False,45.0,count_crawl,external_timeout_kill:lower_bound
nida-nih-gov-research-topics,American Research Institutes,29,29,5,True,18.8,count_crawl,caps_neutralized:_SAFETY_PAGE_CAP=200->big
meteoswiss-admin-ch-services-and-publica,Switzerland Research Centers,440,24,1574,False,45.0,count_crawl,external_timeout_kill:lower_bound
ncha-gov-cn-col,중국 완료,117,28,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
nemertes-library-upatras-gr-browse,Greece Research Centers,127,21,140,False,45.0,count_crawl,external_timeout_kill:lower_bound
phfscience-nz-news-publications,뉴질랜드완료,32,0,0,True,1.1,count_crawl,
nemertes-library-upatras-gr-search,Greece Research Centers,500,14,30968,False,45.0,count_crawl,external_timeout_kill:lower_bound
nfra-gov-cn-cn,중국 완료,726,71,1373,True,41.4,count_crawl,caps_neutralized:_SAFETY_CAP=200->big
opendata-dk-search,덴마크완료,70,70,0,True,11.5,count_crawl,caps_neutralized:_MAX_PAGES=200->big
oka-go-kr-web,한국완료,30,30,0,True,19.9,count_crawl,caps_neutralized:_SAFETY_CAP=200->big;_WALL_BUDGET_SECONDS=1500->big
nistdigitalarchives-contentdm-oclc-org-digital,American Research Institutes,788,24,8257,False,45.0,count_crawl,external_timeout_kill:lower_bound
open-science-canada-ca-communities,Canadian Research Centers,272,5,295,False,45.0,count_crawl,external_timeout_kill:lower_bound
ostrnrcan-dostrncan-canada-ca-search,Canadian Research Centers,220,11,48867,False,45.0,count_crawl,external_timeout_kill:lower_bound
reports-nlr-nl-collections,Dutch Research Centers,18,18,1407,True,35.0,count_crawl,caps_neutralized:_PAGE_CAP=200->big
polytechnique-hal-science-search,French Public Universities,3103,529,20286,False,45.0,count_crawl,external_timeout_kill:lower_bound
rdr-kuleuven-be-dataverse,벨기에완료,418,20,820,False,45.0,count_crawl,external_timeout_kill:lower_bound
repository-cern-search,Switzerland Research Centers,500,401,52293,False,45.0,count_crawl,external_timeout_kill:lower_bound
samr-gov-cn-zw,중국 완료,315,24,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
search-nal-usda-gov-discovery,USA Executive Departments,452,19,422,True,19.3,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_WALL_SEC=1500->big
siseministeerium-ee-otsing,Estonia Ministries,20,10,2501,True,16.0,count_crawl,caps_neutralized:_MAX_PAGES=200->big
scp-nl-publicaties,Dutch Research Centers,243,45,285,False,45.0,count_crawl,external_timeout_kill:lower_bound
simula-no-publications,Norway Research Centers,73,25,143,False,45.0,count_crawl,external_timeout_kill:lower_bound
stats-govt-nz-publications,뉴질랜드완료,87,0,0,True,33.8,count_crawl,caps_neutralized:_MAX_PAGES=200->big
sodha-be-dataverse,벨기에완료,152,22,193,False,45.0,count_crawl,external_timeout_kill:lower_bound
stami-no-en,Norway Research Centers,337,15,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
statistischebibliothek-de-mir,독일완료,384,12,1476,False,45.0,count_crawl,external_timeout_kill:lower_bound
vlaanderen-be-nieuwsberichten,벨기에완료,26,20,0,True,21.3,count_crawl,
transport-govt-nz-documents-and-public,뉴질랜드완료,3,0,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
trm-dk-nyheder,덴마크완료,404,22,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
wallonie-be-fr,벨기에완료,121,13,0,False,45.0,count_crawl,external_timeout_kill:lower_bound
wodc-nl-documenten,Dutch Research Centers,2,1,439,False,45.0,count_crawl,external_timeout_kill:lower_bound
