site_id,site_name,evidence,collected
bmds-bund-de-aktuelles,Custom: bmds-bund-de-aktuelles,ok(건강검진),79
bmf-gv-at-ministerium,Custom: bmf-gv-at-ministerium,ok(건강검진),36
bmftr-bund-de-siteglobals,Custom: bmftr-bund-de-siteglobals,ok(건강검진),197
bmi-gv-at-114,Custom: bmi-gv-at-114,ok(건강검진),76
bmimi-gv-at-themen,Custom: bmimi-gv-at-themen,ok(건강검진),18
bmj-gv-at-ministerium,Custom: bmj-gv-at-ministerium,ok(건강검진),149
bmleh-de-en,Custom: bmleh-de-en,ok(건강검진),26
bmleh-de-siteglobals,Custom: bmleh-de-siteglobals,ok(건강검진),200
bmluk-gv-at-service,Custom: bmluk-gv-at-service,ok(건강검진),315
bmlv-gv-at-wissen-forschung,Custom: bmlv-gv-at-wissen-forschung,ok(건강검진),18
bmv-de-en,Custom: bmv-de-en,정밀검증 확정,11
bmvg-de-en,Custom: bmvg-de-en,ok(건강검진),20
bmwet-gv-at-services,Custom: bmwet-gv-at-services,ok(건강검진),89
bmwkms-gv-at-themen,Custom: bmwkms-gv-at-themen,ok(건강검진),41
bmwsb-bund-de-de,Custom: bmwsb-bund-de-de,ok(건강검진),20
bmz-de-de,Custom: bmz-de-de,ok(건강검진),6
bnf-fr-fr,Custom: bnf-fr-fr,ok(건강검진),488
bok-or-kr-portal,Custom: bok-or-kr-portal,ok(건강검진),430
book-ioj-go-kr-library,Custom: book-ioj-go-kr-library,ok(건강검진),500
boverket-se-en,Custom: boverket-se-en,ok(건강검진),9
bra-se-english,Custom: bra-se-english,ok(건강검진),306
brgm-fr-fr,Custom: brgm-fr-fr,ok(건강검진),234
broadbentinstitute-ca-research,Custom: broadbentinstitute-ca-research,ok(건강검진),81
brsn-net-list,Custom: brsn-net-list,ok(건강검진),500
budget-canada-ca-home-accueil-enhtml,Custom: budget-canada-ca-home-accueil-enhtml,ok(건강검진),17
bundesfinanzministerium-de-web,Custom: bundesfinanzministerium-de-web,ok(건강검진),112
bundesgesundheitsministerium-de-service,Custom: bundesgesundheitsministerium-de-service,ok(건강검진),229
bundeskanzleramt-gv-at-bundeskanzleramt,Custom: bundeskanzleramt-gv-at-bundeskanzleramt,ok(건강검진),480
bundesumweltministerium-de-en,Custom: bundesumweltministerium-de-en,ok(건강검진),7
busan-go-kr-nbtnewsbu,Custom: busan-go-kr-nbtnewsbu,ok(건강검진),537
business-sweden-com-about-us,Custom: business-sweden-com-about-us,ok(건강검진),94
cac-gov-cn-hdfw,Custom: cac-gov-cn-hdfw,ok(건강검진),89
