site_id,sheet,collected,counted,server_total,completed,elapsed_s,method,note,health
fmn-dk-da,덴마크완료,848,272,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
mof-go-kr-doc,한국완료,624,366,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
gyeongnam-go-kr-board,한국완료,190,349,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
auswaertiges-amt-de-en,독일완료,526,311,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
biblio-naturalsciences-be-rbins-publications,벨기에완료,500,299,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
mintour-gov-gr-deltia-typoy,Greece Ministries,394,253,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
mivau-gob-es-el-ministerio,Spain Ministries,473,270,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
amolf-nl-publications,Dutch Research Centers,512,422,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
miteco-gob-es-es,Spain Ministries,379,293,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
cpb-nl-en,Dutch Research Centers,371,318,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
forest-go-kr-kfsweb,한국완료,931,269,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
em-lyon-com-en,French Public Universities,348,268,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
incheon-go-kr-ic010205,한국완료,1328,574,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
esri-ie-publications,Irish Research Centers,531,276,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ypes-gr-category,Greece Ministries,987,1785,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
kipo-go-kr-ko,한국완료,500,561,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
policyalternatives-ca-news-research,Canadian Research Centers,1543,1026,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
fibl-org-en,Switzerland Research Centers,539,393,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
irb-usi-ch-publications,Switzerland Research Centers,558,560,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
presse-economie-gouv-fr,France Ministries,1206,1881,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
etis-ee-portal,Estonia Research Centers,138,89,327834,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
kei-re-kr-eliblistes,한국완료,364,224,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
cnic-es-en,Spanish Research Centers,419,221,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
gi-re-kr-home,한국완료,452,432,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
justitsministeriet-dk-pressemeddelelse,덴마크완료,346,230,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
koti-re-kr-user,한국완료,373,197,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
sejong-go-kr-bbs,한국완료,500,1241,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
scourt-go-kr-portal,한국완료,982,1177,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
gnewsonline-it-category,Italy Ministries,343,208,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
kepco-co-kr-home,한국완료,400,492,0,True,377.4,count_crawl,,ok
biorbic-com-publications,Irish Research Centers,497,467,0,True,7.7,count_crawl,caps_neutralized:SAFETY_CAP_PAGES=200->big;WALL_CLOCK_BUDGET_SECONDS=1500->big,ok
skillsdevelopmentscotland-co-uk-publications-statist,영국완료,488,487,0,True,49.7,count_crawl,caps_neutralized:_SAFETY_CAP=200->big;_MAX_SECONDS=1500->big,ok
educacionfpydeportes-gob-es-prensahtml,Spain Ministries,347,200,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
bnf-fr-fr,French Public Institutions,488,488,0,True,82.6,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_SECONDS=1500->big,ok
minrel-gob-cl-minrel,Chile Ministries,4547,1154,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
defence-govt-nz-publications,뉴질랜드완료,431,434,0,True,473.9,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_WALL=1500->big,ok
stepi-re-kr-site,한국완료,570,941,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
babraham-ac-uk-news,영국완료,483,309,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
carabinieri-it-in-vostro-aiuto,Italy Ministries,301,132,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
fafo-no-en,Norway Research Centers,322,178,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
dst-dk-da,덴마크완료,408,210,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
kinu-or-kr-main,한국완료,432,434,0,True,567.6,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_WALL_SECONDS=1500->big,ok
accc-gov-au-search,호주완료,454,162,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
jeonnam-go-kr-m7116,한국완료,770,255,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ameslab-gov-news,American Research Institutes,394,396,0,True,249.5,count_crawl,caps_neutralized:_SAFETY_CAP=200->big;_WALL_BUDGET_SECONDS=1500->big,ok
mfds-go-kr-brd,한국완료,461,163,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
mpva-go-kr-mpva,한국완료,590,902,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
gov-wales-publications,영국완료,155,172,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
environment-govt-nz-acts-and-regulations,뉴질랜드완료,315,140,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
mss-go-kr-site,한국완료,500,832,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
elocus-lib-uoc-gr-search,Greece Research Centers,282,165,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
klri-re-kr-kor,한국완료,590,155,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ejournals-epublishing-ekt-gr-indexphp,Greece Research Centers,474,209,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
rda-go-kr-board,한국완료,1020,792,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
police-go-kr-user,한국완료,747,768,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
repository-naturalis-nl,Dutch Research Centers,9681,777,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
em-dk-aktuelt,덴마크완료,350,247,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
motir-go-kr-kor,한국완료,703,697,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
pubs-usgs-gov,American Research Institutes,10,658,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
state-gwd-go-kr-portal,한국완료,614,570,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
rigsrevisionen-dk-revisionssager,덴마크완료,590,648,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
english-www-gov-cn-archive,중국 완료,506,269,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
bundesgesundheitsministerium-de-service,독일완료,229,112,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
gichd-org-publications-resourc,Switzerland Research Centers,266,166,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
bmluk-gv-at-service,오스트리아완료,315,272,0,True,4.3,count_crawl,caps_neutralized:_MAX_PAGES=200->big,ok
en-nim-ac-cn-taxonomy,중국 완료,303,303,0,True,263.1,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_SECONDS=1500->big,ok
mohw-go-kr-boardes,한국완료,920,628,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
sm-dk-publikationer,덴마크완료,354,354,0,True,368.4,count_crawl,,ok
sm-ee-otsing,Estonia Ministries,158,337,348,True,395.9,count_crawl,caps_neutralized:MAX_PAGES=200->big;WALL_BUDGET_SECONDS=1500->big,ok
ons-gov-uk-search,영국완료,516,333,0,True,419.4,count_crawl,caps_neutralized:_SAFETY_CAP=200->big,ok
nypi-re-kr,한국완료,3,589,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
dol-gov-newsroom,USA Executive Departments,275,119,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
repository-library-noaa-gov-view,American Research Institutes,812,548,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ifremer-fr-fr,French Research Institutes,286,240,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
igualdad-gob-es-comunicacion,Spain Ministries,216,40,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ntp-niehs-nih-gov-publications,American Research Institutes,536,532,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
search-open-canada-ca-opendata,Canada Ministries,5287,80,0,True,135.0,count_crawl,caps_neutralized:MAX_PAGES=200->big;WALL_BUDGET_SECONDS=1500->big,ok
kicj-re-kr-boardes,한국완료,154,103,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
moj-go-kr-moj,한국완료,793,503,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
treasury-gov-au-publication,호주완료,651,589,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ruomoplus-lib-uom-gr-simple-search,Greece Research Centers,500,514,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
sastind-gov-cn-n10086200,중국 완료,474,372,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
opm-go-kr-opm,한국완료,660,489,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
nisra-gov-uk-publications,영국완료,522,502,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
mafra-go-kr-home,한국완료,761,460,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
doi-gov-bpp,USA Executive Departments,204,204,0,True,11.3,count_crawl,caps_neutralized:_MAX_WALL_SECONDS=1500->big;_MAX_PAGES=200->big,ok
amf-france-org-fr,French Public Institutions,157,75,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
nordlandsforskning-no-en,Norway Research Centers,304,396,0,True,557.1,count_crawl,caps_neutralized:_SAFETY_CAP=200->big;_MAX_WALL_SECONDS=1500->big,ok
graduateinstitute-ch-library,Switzerland Research Centers,398,84,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
lib-cssn-cn-zy,중국 완료,204,204,0,True,273.8,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_WALL_CLOCK_LIMIT=1500->big,ok
benthamscience-com-press-release,Switzerland Research Centers,191,193,0,True,226.7,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_WALL_SECONDS=1500->big,ok
mogef-go-kr-nw,한국완료,852,355,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
economy-ni-gov-uk-publications,영국완료,583,97,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
molit-go-kr-usr,한국완료,390,430,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
opengov-seoul-go-kr-research,한국완료,344,357,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
nist-gov-publications,American Research Institutes,478,347,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
nin-nl-publications,Dutch Research Centers,471,357,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
nhlbi-nih-gov-resources,American Research Institutes,325,271,0,True,519.7,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_WALL_SECONDS=1500->big,ok
sib-swiss-community,Switzerland Research Centers,391,359,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ypen-gov-gr-category,Greece Ministries,454,330,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
regulation-govt-nz-about-us,뉴질랜드완료,247,312,0,True,547.9,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_WALL_BUDGET=1500->big,ok
bmftr-bund-de-siteglobals,독일완료,197,142,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
saemangeum-go-kr-sda,한국완료,428,321,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
ots-at-pressemappe,오스트리아완료,500,303,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
krihs-re-kr-krihslibraryreport,한국완료,168,150,0,True,89.6,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_WALL_SECS=1500->big,ok
nivel-nl-en,Dutch Research Centers,520,370,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
netl-doe-gov-search-r-d-publicati,American Research Institutes,729,338,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
usgs-gov-news,American Research Institutes,1549,243,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
repository-tno-nl-doclist,Dutch Research Centers,10508,263,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
si-re-kr-bbs,한국완료,501,297,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
issibern-ch-outreach,Switzerland Research Centers,157,159,0,True,596.1,count_crawl,caps_neutralized:SAFETY_PAGE_CAP=200->big;WALL_CLOCK_BUDGET_SECONDS=1500->big,ok
onera-fr-fr,French Research Institutes,145,148,0,True,330.4,count_crawl,caps_neutralized:_MAX_PAGES=200->big;_MAX_WALL_SECONDS=1500->big,ok
nimh-nih-gov-news,American Research Institutes,492,261,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
psi-ch-en,Switzerland Research Centers,405,273,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
netl-doe-gov-fecm-external-r-and-,American Research Institutes,343,312,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
www6-slac-stanford-edu-news-and-events,American Research Institutes,267,190,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
pubshop-bmbwf-gv-at-indexphp,오스트리아완료,479,499,0,False,600.1,count_crawl,external_timeout_kill:lower_bound,timeout
