site_id,health,flag_count,flags
bmlv-gv-at-wissen-forschung,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
bmv-de-en,empty_zero_parse,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
bmvg-de-en,ok,5,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
bmwet-gv-at-services,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
bmwkms-gv-at-themen,ok,2,초록<50자 skip; 25분벽시계
bmwsb-bund-de-de,ok,1,25분벽시계
bmz-de-de,ok,2,MAX_PAGES=200; 25분벽시계
bnf-fr-fr,ok,3,초록<100자 skip; MAX_PAGES=200; 25분벽시계
bok-or-kr-portal,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
book-ioj-go-kr-library,ok,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
bordbia-ie-about,empty_zero_parse,2,초록<50자 skip; 25분벽시계
boverket-se-en,ok,2,초록<100자 skip; 25분벽시계
bra-se-english,ok,4,초록<100자 skip; MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
brgm-fr-fr,ok,2,25분벽시계; 뉴스/보도성
broadbentinstitute-ca-research,ok,4,초록<50자 skip; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
brsn-net-list,ok,2,MAX_PAGES=200; 25분벽시계
budget-canada-ca-home-accueil-enhtml,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
bundesfinanzministerium-de-web,empty_zero_parse,3,초록<80자 skip; MAX_PAGES=200; 25분벽시계
bundesgesundheitsministerium-de-service,ok,2,MAX_PAGES=200; 25분벽시계
bundeskanzleramt-gv-at-bundeskanzleramt,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
bundesumweltministerium-de-en,ok,0,
busan-go-kr-nbtnewsbu,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; 뉴스/보도성
business-sweden-com-about-us,ok,3,초록<50자 skip; 25분벽시계; 뉴스/보도성
cac-gov-cn-hdfw,ok,2,초록<50자 skip; 25분벽시계
cae-eco-fr-presse-cae-0,ok,2,초록<50자 skip; 25분벽시계
caissedesdepots-fr-communiques-de-press,ok,2,초록<50자 skip; 25분벽시계
caitec-org-cn-n6,ok,2,초록<50자 skip; 25분벽시계
canada-ca-en,ok,3,초록<100자 skip; 25분벽시계; 뉴스/보도성
cancer-fr-catalogue-des-public,ok,2,25분벽시계; JS렌더의존(취약)
cancer-fr-presse,ok,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
cancer-gov-about-nci,ok,2,초록<50자 skip; 25분벽시계
canurb-org-publications,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
carabinieri-it-in-vostro-aiuto,ok,5,초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
casseng-cssn-cn-sky_research,ok,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
catalog-data-metro-tokyo-lg-jp-dataset,ok,2,MAX_PAGES=200; 25분벽시계
catalogue-data-govt-nz-dataset,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
cc-nih-gov-research,ok,4,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
cdhowe-org-research-insights,ok,4,MAX_PAGES=200; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
cds-cern-ch-collection,ok,2,MAX_PAGES=200; 25분벽시계
cea-hal-science-cnrgh,ok,2,MAX_PAGES=200; 25분벽시계
cedelft-eu-reports,ok,2,25분벽시계; 뉴스/보도성
cells-es-en,empty_zero_parse,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
centralbank-ie-publication,ok,2,초록<50자 skip; 25분벽시계
centralesupelec-fr-presse,ok,4,초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
cepii-fr-cepii,ok,2,MAX_PAGES=200; 25분벽시계
cer-rec-gc-ca-en,ok,2,MAX_PAGES=200; 25분벽시계
cerema-fr-fr,ok,2,MAX_PAGES=200; 25분벽시계
chinatax-gov-cn-chinatax,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
chineseafs-org-ckynewsmgr,empty_zero_parse,2,초록<50자 skip; 25분벽시계
chungnam-go-kr-cnportal,ok,3,PDF링크 접미사판정(랜딩미추적); MAX_PAGES=200; 25분벽시계
cigionline-org-publications,ok,2,25분벽시계; JS렌더의존(취약)
cirad-fr-espace-presse,ok,2,초록<100자 skip; 25분벽시계
civilprotection-gov-gr-deltia-tupou,ok,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
climateinstitute-ca-newsroom,ok,4,초록<50자 skip; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
cmi-no-publications,ok,1,25분벽시계
cnam-hal-science-ceet,ok,2,MAX_PAGES=200; 25분벽시계
cnam-hal-science-search,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계
cnes-fr-communiques,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
cnic-es-en,ok,2,MAX_PAGES=200; 25분벽시계
cnipa-gov-cn-col,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
cnl-ca-news-publications,empty_zero_parse,2,초록<100자 skip; 25분벽시계
collections-nlm-nih-gov,?,3,초록<100자 skip; 25분벽시계; JS렌더의존(취약)
college-de-france-fr-en,ok,3,25분벽시계; 뉴스/보도성; JS렌더의존(취약)
compareschoolrankings-org,?,3,MAX_PAGES=200; 25분벽시계; JS렌더의존(취약)
comptroller-defense-gov-odcfo,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
comwel-or-kr-comwel,ok,3,MAX_PAGES=200; 25분벽시계; 뉴스/보도성
consult-environment-govt-nz-climate,ok,2,초록<50자 skip; 25분벽시계
consult-environment-govt-nz-resource-management,ok,3,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계
consult-environment-govt-nz-waste,ok,3,초록<50자 skip; MAX_PAGES=200; 25분벽시계
cora-ucc-ie-search,ok,2,PDF링크 접미사판정(랜딩미추적); 25분벽시계
cpb-nl-en,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; 25분벽시계; JS렌더의존(취약)
cre-fr-documents,ok,2,초록<100자 skip; 25분벽시계
csem-ch-en,ok,2,25분벽시계; 뉴스/보도성
csic-es-es,ok,2,MAX_PAGES=200; 25분벽시계
cso-ie-en,empty_zero_parse,4,초록<50자 skip; MAX_PAGES=200; 25분벽시계; 뉴스/보도성
csrc-gov-cn-csrc_en,ok,4,PDF링크 접미사판정(랜딩미추적); 초록<50자 skip; MAX_PAGES=200; 25분벽시계
cstb-fr-communiques-de-press,ok,4,MAX_PAGES=200; 25분벽시계; 뉴스/보도성; JS렌더의존(취약)
