site_id,prev_bucket,verdict,saved,elapsed_s,signal,err,out_tail
kliimaministeerium-ee-otsing,,HEALTHY,3,5.4,,,nisteerium-ee-otsing] saved 2/3: Riigi uued ootused Tallinna Lennujaamale seavad sihiks lennuühenduste [kliimaministeerium-ee-otsing] saved 3/3: Elektrit tootvate tarbijate elektriarvestus muutub õiglasemaks [kliimaministeerium-ee-otsing] Done. Total saved: 3 
cso-ie-en,,BROKEN,0,1.7,parse:no items found,,"[cso-ie-en] no items found for year 2026, stopping [cso-ie-en] done: saved 0 documents "
siseministeerium-ee-otsing,,HEALTHY,3,5.4,,,"eerium-ee-otsing] saved 2/3: Siseministeerium avab taotlusvooru siseturvalisuse kodanikuhariduse ed [siseministeerium-ee-otsing] saved 3/3: Siseministeerium arvamusfestivalil: Kraavivesi, priimus ja mutimaks – [siseministeerium-ee-otsing] Done. Total saved: 3 "
openaccess-inaf-it,,HEALTHY,3,7.9,,,metadata generator [openaccess-inaf-it] saved 2/3: REPORT CORSO UNIVERSO IN FIORE A.S. 2023-24 [openaccess-inaf-it] saved 3/3: The Heart of the Data Center: A Guide to Designing Scalable and Reliable Networks. A Pract [openaccess-inaf-it] done. Total saved: 3 
fibl-org-en,,INCONCLUSIVE,0,1.2,,,[fibl-org-en] page 0: saved 0/3 [fibl-org-en] page 0: 0 records; stopping pagination. [fibl-org-en] Done. Saved 0 records total. 
sm-ee-otsing,,INCONCLUSIVE,0,6.8,,, endpoint: node HTML page (base_url + doc['uri']) [sm-ee-otsing] page 1: saved 0/3 [sm-ee-otsing] search page 1 JSON parse failed: Expecting value: line 1 column 1 (char 0) [sm-ee-otsing] page 1: search API failed; stopping [sm-ee-otsing] done. Total saved: 0 
secihti-mx-sala-de-prensa,,HEALTHY,3,10.1,,,on conveni [secihti-mx-sala-de-prensa] Saved 2/3: Secihti y Banco Mundial articulan proyecto para detonar inno [secihti-mx-sala-de-prensa] Saved 3/3: GOBIERNO DE MÉXICO DESTINA 2 MIL MDP A LA ESTRATEGIA DE ATEN [secihti-mx-sala-de-prensa] Done. Total saved: 3 
nidcd-nih-gov-order,,INCONCLUSIVE,0,1.4,,,[nidcd-nih-gov-order] No items on page 0. End of pagination. [nidcd-nih-gov-order] Done. Total saved: 0 
earth-prints-org,,HEALTHY,3,3.5,,,aved 2/3: Carbon Monoxide Anomalies for the 2013 Mw =6.7 Lushan Earthquake Using MSSA-RST Approach [earth-prints-org] saved 3/3: Insights into Conjugate Hemispheric Ionospheric Disturbances Associated with the Beirut Po [earth-prints-org] done. Total saved: 3 
