mpn	doc_type	url
IPW60R037CSFD	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---ipw60r037csfd---500v-950v---cadence-pcbdesigndata-en.zip
IPDQ60R035CFD7	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-ipdq60r035cfd7-datasheet-en.pdf
ICE5AR4770AG-1	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-ice5ar4770ag-1-fixed-frequency-coolset-kicad-pcbdesigndata-en.zip
TLD5099EP	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---tld5099ep---litix-power---eagle-pcbdesigndata-en.zip
BSC028N06LS3-G	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---bsc028n06ls3-g---40v-75v-n-channel-power-mosfet---mentor---v1.0.zip-pcb-en.zip
IRF6641	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---irf6641---12v-300v-n-channel-power-mosfet---altium-pcbdesigndata-en.zip
F3L225R07W2H3P-B63	spice	https://www.infineon.com/assets/row/public/documents/60/50/infineon-f3l225r07w2h3p-b63-plecs-simulationmodels-en.zip
IMZC140R024M2H	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols-imzc140r024m2h-discretes-designspark-pcbdesigndata-en.zip
FP06R12W1T4-B3	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-fp06r12w1t4-b3-ds-en-de.pdf
25GQ045	datasheet	https://www.infineon.com/assets/row/public/documents/24/49/infineon-25gq045-datasheet-en.pdf
XMC4300-F100F256-AA	package	https://www.infineon.com/assets/row/public/documents/30/76/infineon-pg-lqfp-100-25-xmc4300f100f256aaxqma1-pd-en.pdf
XDPL8218	guide	https://www.infineon.com/assets/row/public/documents/24/63/infineon-market-news-lighting-ics-xdp-digital-power-xdpl8218-led-driver-ic-ap-en.pdf
FZ1800R17HP4-B9	spice	https://www.infineon.com/assets/row/public/documents/60/50/infineon-fz1800r17hp4-b9-plecs-simulationmodels-en.zip
IKWH70N67PR7	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-pcb-footprints-and-symbols-ikwh70n67pr7-670v-designspark-pcbdesigndata-en.zip
IGOT65R045D2	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-igot65r045d2-650v-designspark-pcbdesigndata-en.zip
IPD60N10S4L-12	pcb_3d	https://www.infineon.com/assets/row/public/documents/10/60/infineon-pcb-footprints-and-symbols---ipd60n10s4l-12---100v-300v-n-channel-automotive-mosfet---mentor-pcb-en.zip
1EDI60I12AH	spice	https://www.infineon.com/assets/row/public/documents/24/50/infineon-1edi60i12ah-pspice-simulationmodels-en.zip
IR38064MTRPBF	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-ir38064mtrpbf-integrated-pol-voltage-regulators-eagle-pcbdesigndata-en.zip
XMC4800-F100K1024-AA	package	https://www.infineon.com/assets/row/public/documents/30/76/infineon-pg-lqfp-100-25-xmc4800f100k1024aaxqma1-pd-en.pdf
ISC104N12LM6	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols-isc104n12lm6-n-channel-kicad-pcbdesigndata-en.zip
ESD110-B1-02EL	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-pqr-esd110-b1-02els-productqualificationreport-en.pdf
DDB6U75N16W1R	pcb_3d	https://www.infineon.com/assets/row/public/documents/60/60/infineon-ddb6u75n16w1r-3d-model-pcbdesigndata-en.stp
IDL08G65C5	pcb_3d	https://www.infineon.com/assets/row/public/documents/24/60/infineon-pcb-footprints-and-symbols---idl08g65c5---silicon-carbide-sic---eagle---v1.0.zip-pcb-en.zip
T1220N28TOF-VT	datasheet	https://www.infineon.com/assets/row/public/documents/60/49/infineon-t1220n28tof-vt-datasheet-en.pdf
IAUC120N04S6L008	datasheet	https://www.infineon.com/assets/row/public/documents/10/49/infineon-iauc120n04s6l008-ds-en.pdf
IRF7331	pqr	https://www.infineon.com/assets/row/public/documents/24/316/infineon-irf7331-productqualificationreport-en.pdf
